Target,Prime,Tick(s),RT,LD,SD,LD+SD,LD*SD,Target_Length,Prime_Length,Target_Frequency,Prime_Frequency
carro,carriera,3,opaque,552.2438,0.00333697264645,0.949237680211,0.952574652858,0.00316758017384,5,8,1863,5460
cavia,caviale,3,opaque,631.21745,0.000459242274507,0.552948037598,0.553407279873,0.000253937114471,5,7,226,337
colla,colletta,3,opaque,536.77975,0.00298928606259,0.597756771086,0.600746057149,0.00178686598463,5,8,616,112
colle,collezione,3,opaque,595.0539,0.000469115164624,0.816719566405,0.81718868157,0.000383135533846,5,10,101,1616
cono,conato,3,opaque,574.289,0.00735845170487,0.833174498097,0.840532949802,0.00613087430597,4,6,274,13
coro,corona,3,opaque,542.59295,0.00185494502134,0.818207243937,0.820062188958,0.00151772945356,4,6,1135,1328
corso,corsetto,3,opaque,559.09485,0.00183318210983,0.805025944042,0.806859126152,0.00147575915856,5,8,7856,103
coscia,coscienza,3,opaque,665.7374,0.000770145426572,0.747386612982,0.748156758408,0.000575596381869,6,9,413,2414
costa,costanza,3,opaque,549.61565,0.000457896447836,0.763184625919,0.763642522367,0.000349459529251,5,8,5242,109
doga,dogana,3,opaque,695.3333,0.00146735222109,0.718709385624,0.720176737845,0.00105459981332,4,6,2,444
equo,equino,3,opaque,768.8727,0.0106405363853,0.721541837649,0.732182374034,0.00767759217703,4,6,388,32
falco,falcata,3,opaque,514.56,0.00183425748712,0.740175938825,0.742010196313,0.00135767325758,5,7,799,19
fattore,fattorino,3,opaque,609.0595,0.00020844404248,0.68099945127,0.681207895313,0.00014195027855,7,9,693,441
fiore,fioretto,3,opaque,505.1074,0.000366367478865,0.74083332017,0.741199687649,0.00027141723577,5,8,1764,39
firma,firmamento,3,opaque,546.6645,0.000121690118712,0.643525911343,0.643647601462,7.83107445455e-05,5,10,2716,69
foca,focaccia,3,opaque,559.0334,9.1899094988e-05,0.617217218818,0.617309117913,5.67217038203e-05,4,8,135,125
folle,folletto,3,opaque,540.9221,0.000370713636465,0.558564045923,0.55893475956,0.000207067308663,5,8,2711,205
fonte,fontina,3,opaque,532.56255,0.00302391224426,0.564159583098,0.567183495342,0.00170596907105,5,7,2904,8
forma,formaggio,3,opaque,517.2278,0.000389252078356,0.737423063664,0.737812315743,0.000287043460159,5,9,7571,2720
forza,forziere,3,opaque,519.68325,0.00329784440708,0.826344752477,0.829642596884,0.00272515642028,5,8,45941,83
fosso,fossile,3,opaque,556.6161,0.00194742151711,0.789762368432,0.791709789949,0.00153800022969,5,7,352,117
gallo,gallone,3,opaque,537.5952,0.000463327643831,0.691930738512,0.692394066155,0.000320590638769,5,7,514,59
gara,garante,3,opaque,584.4382,0.00194742151711,0.880746870072,0.882694291589,0.00171518540591,4,7,3788,160
gelo,geloso,3,opaque,582.90455,0.00146735222109,0.764148525136,0.765615877357,0.0011212750356,4,6,186,1953
genero,generoso,3,opaque,674.3671,9.26483533744e-05,0.576181088948,0.576273737302,5.33822291365e-05,6,8,395,1176
gesta,gestazione,3,opaque,638.2688,0.000486494094995,0.796658786291,0.797145280386,0.000387569795257,5,10,127,56
getto,gettone,3,opaque,647.68485,0.000370713636465,0.685027479748,0.685398193384,0.000253949028096,5,7,272,102
giro,girino,3,opaque,533.77345,0.004790614224,0.790454755305,0.795245369529,0.00378676379419,4,6,29849,63
grano,granata,3,opaque,593.2299,0.00183425748712,0.758713825143,0.76054808263,0.00139167651435,5,7,925,550
indole,indolenza,3,opaque,641.3911,2.86159877581e-05,0.295876471599,0.295905087586,8.46679748916e-06,6,9,130,15
lampo,lampone,3,opaque,568.9139,0.000457896447836,0.589017638026,0.589475534474,0.000269709084165,5,7,693,89
mago,magone,3,opaque,556.1395,0.00183318210983,0.732754900346,0.734588082456,0.0013432731742,4,6,1864,12
masso,massaggio,3,opaque,604.4706,0.00169937240057,0.800161599305,0.801860971706,0.00135977253786,5,9,101,1052
matto,mattanza,3,opaque,538.91205,0.00194879746136,0.716946645909,0.718895443371,0.00139718380348,5,8,4532,8
mela,melone,3,opaque,551.5784,0.0132147951361,0.544603227069,0.557818022205,0.0071968200762,4,6,1206,242
merlo,merletto,3,opaque,566.4139,0.00149021136568,0.713132605513,0.714622816878,0.00106271831397,5,8,80,33
mimo,mimosa,3,opaque,670.9489,0.00192344859743,0.649881885246,0.651805333843,0.00125001440067,4,6,115,89
mina,miniera,3,opaque,592.7964,0.00635925372189,0.76946168137,0.775820935092,0.0048932020611,4,7,737,1262
nave,navetta,3,opaque,527.1181,0.00146735222109,0.444698796918,0.446166149139,0.000652529767376,4,7,12547,929
ombra,ombrello,3,opaque,531.4193,0.00329784440708,0.639343840267,0.642641684674,0.00210845650783,5,8,2707,513
orma,ormeggio,3,opaque,685.3601,0.0133052139025,0.801229654099,0.814534868001,0.0106605319328,4,8,40,27
oste,ostaggio,3,opaque,556.7517,0.0133052139025,0.691141243017,0.70444645692,0.0091957820752,4,8,133,1626
pieta,pietanza,3,opaque,598.37665,0.000457896447836,0.511995558839,0.512453455287,0.0002344409477,5,8,32,44
pigna,pignolo,3,opaque,565.316,0.00329784440708,0.650021017634,0.653318862041,0.00214366817749,5,7,58,110
porco,porcino,3,opaque,555.2121,0.00183318210983,0.544284829534,0.546118011644,0.000997773212152,5,7,1594,5
pulce,pulcino,3,opaque,594.1813,0.00338910496265,0.542369259094,0.545758364056,0.00183814634758,5,7,163,145
quiete,quietanza,3,opaque,573.3697,0.000480774761932,0.583504374347,0.583985149109,0.000280534176663,6,9,320,2
ramo,ramino,3,opaque,564.8643,0.0106405363853,0.745552052158,0.756192588544,0.00793307373815,4,6,647,35
rete,retaggio,3,opaque,550.4014,0.00747214202471,0.889943187732,0.897415329757,0.00664978189265,4,8,2960,114
retta,rettile,3,opaque,646.392,0.00333697264645,0.844298092145,0.847635064791,0.00281739963893,5,7,2389,128
ricetta,ricettazione,3,opaque,566.7932,2.46950032919e-05,0.43713487316,0.437159568163,1.07950471317e-05,7,12,1343,36
salmo,salmone,3,opaque,574.6194,0.000457896447836,0.616245152278,0.616703048726,0.000282176466224,5,7,69,495
scalpo,scalpello,3,opaque,616.5818,0.00064674536627,0.536335240833,0.536981986199,0.000346872331776,6,9,146,78
scontro,scontrino,3,opaque,601.4098,9.15625144985e-05,0.564274251718,0.564365814233,5.16663693541e-05,7,9,1168,253
secchio,secchione,3,opaque,568.7681,2.31602107609e-05,0.327904951463,0.327928111674,7.59434778543e-06,7,9,672,215
sosta,sostanza,3,opaque,606.7861,0.000480422799767,0.813503349786,0.813983772586,0.000390825556924,5,8,811,1105
spunto,spuntino,3,opaque,578.7145,0.000572330957623,0.555508151219,0.556080482177,0.000317934512154,6,8,159,475
stiva,stivale,3,opaque,602.8891,0.000457896447836,0.541915820186,0.542373716634,0.000248141329089,5,7,310,288
tacco,tacchino,3,opaque,540.6586,0.00308165318471,0.525461042921,0.528542696106,0.00161928869636,5,8,291,1069
tassa,tassello,3,opaque,548.62195,0.00187806655518,0.774465223986,0.776343290541,0.00145449723532,5,8,276,46
tatto,tattico,3,opaque,500.3615,0.00282171714739,0.730870603675,0.733692320823,0.00206231011491,5,7,888,256
testa,testamento,3,opaque,548.08705,0.000395316743065,0.882302131504,0.882697448247,0.000348788805025,5,10,41400,1254
tifo,tifone,3,opaque,704.2041,0.00183318210983,0.695874967335,0.697708149445,0.00127566554079,4,6,525,83
