Target,Prime,Tick(s),RT,LD,SD,LD+SD,LD*SD,Target_Length,Prime_Length,Target_Frequency,Prime_Frequency
fiore,fioretto,6,opaque,544.3132,0.000366367478865,0.74083332017,0.741199687649,0.00027141723577,5,8,1764,39
firma,firmamento,6,opaque,521.503,0.000121690118712,0.643525911343,0.643647601462,7.83107445455e-05,5,10,2716,69
foca,focaccia,6,opaque,620.9781,9.1899094988e-05,0.617217218818,0.617309117913,5.67217038203e-05,4,8,135,125
folle,folletto,6,opaque,516.6765,0.000370713636465,0.558564045923,0.55893475956,0.000207067308663,5,8,2711,205
fonte,fontina,6,opaque,566.9167,0.00302391224426,0.564159583098,0.567183495342,0.00170596907105,5,7,2904,8
forma,formaggio,6,opaque,542.0961,0.000389252078356,0.737423063664,0.737812315743,0.000287043460159,5,9,7571,2720
forza,forziere,6,opaque,494.50305,0.00329784440708,0.826344752477,0.829642596884,0.00272515642028,5,8,45941,83
fosso,fossile,6,opaque,559.4592,0.00194742151711,0.789762368432,0.791709789949,0.00153800022969,5,7,352,117
gallo,gallone,6,opaque,515.9755,0.000463327643831,0.691930738512,0.692394066155,0.000320590638769,5,7,514,59
gara,garante,6,opaque,533.8023,0.00194742151711,0.880746870072,0.882694291589,0.00171518540591,4,7,3788,160
gelo,geloso,6,opaque,533.46035,0.00146735222109,0.764148525136,0.765615877357,0.0011212750356,4,6,186,1953
genero,generoso,6,opaque,627.2163,9.26483533744e-05,0.576181088948,0.576273737302,5.33822291365e-05,6,8,395,1176
gesta,gestazione,6,opaque,643.33285,0.000486494094995,0.796658786291,0.797145280386,0.000387569795257,5,10,127,56
getto,gettone,6,opaque,591.4088,0.000370713636465,0.685027479748,0.685398193384,0.000253949028096,5,7,272,102
giro,girino,6,opaque,554.9277,0.004790614224,0.790454755305,0.795245369529,0.00378676379419,4,6,29849,63
grano,granata,6,opaque,590.8187,0.00183425748712,0.758713825143,0.76054808263,0.00139167651435,5,7,925,550
indole,indolenza,6,opaque,675.565,2.86159877581e-05,0.295876471599,0.295905087586,8.46679748916e-06,6,9,130,15
lampo,lampone,6,opaque,526.1193,0.000457896447836,0.589017638026,0.589475534474,0.000269709084165,5,7,693,89
mago,magone,6,opaque,583.4943,0.00183318210983,0.732754900346,0.734588082456,0.0013432731742,4,6,1864,12
masso,massaggio,6,opaque,647.6034,0.00169937240057,0.800161599305,0.801860971706,0.00135977253786,5,9,101,1052
matto,mattanza,6,opaque,537.1005,0.00194879746136,0.716946645909,0.718895443371,0.00139718380348,5,8,4532,8
mela,melone,6,opaque,530.63655,0.0132147951361,0.544603227069,0.557818022205,0.0071968200762,4,6,1206,242
merlo,merletto,6,opaque,594.7725,0.00149021136568,0.713132605513,0.714622816878,0.00106271831397,5,8,80,33
mimo,mimosa,6,opaque,629.0766,0.00192344859743,0.649881885246,0.651805333843,0.00125001440067,4,6,115,89
mina,miniera,6,opaque,621.7064,0.00635925372189,0.76946168137,0.775820935092,0.0048932020611,4,7,737,1262
nave,navetta,6,opaque,493.6391,0.00146735222109,0.444698796918,0.446166149139,0.000652529767376,4,7,12547,929
ombra,ombrello,6,opaque,516.958,0.00329784440708,0.639343840267,0.642641684674,0.00210845650783,5,8,2707,513
orma,ormeggio,6,opaque,588.42135,0.0133052139025,0.801229654099,0.814534868001,0.0106605319328,4,8,40,27
oste,ostaggio,6,opaque,610.99765,0.0133052139025,0.691141243017,0.70444645692,0.0091957820752,4,8,133,1626
pieta,pietanza,6,opaque,560.30745,0.000457896447836,0.511995558839,0.512453455287,0.0002344409477,5,8,32,44
pigna,pignolo,6,opaque,607.9521,0.00329784440708,0.650021017634,0.653318862041,0.00214366817749,5,7,58,110
porco,porcino,6,opaque,551.8628,0.00183318210983,0.544284829534,0.546118011644,0.000997773212152,5,7,1594,5
pulce,pulcino,6,opaque,497.8005,0.00338910496265,0.542369259094,0.545758364056,0.00183814634758,5,7,163,145
quiete,quietanza,6,opaque,602.0894,0.000480774761932,0.583504374347,0.583985149109,0.000280534176663,6,9,320,2
ramo,ramino,6,opaque,542.7981,0.0106405363853,0.745552052158,0.756192588544,0.00793307373815,4,6,647,35
rete,retaggio,6,opaque,555.798,0.00747214202471,0.889943187732,0.897415329757,0.00664978189265,4,8,2960,114
retta,rettile,6,opaque,547.50315,0.00333697264645,0.844298092145,0.847635064791,0.00281739963893,5,7,2389,128
ricetta,ricettazione,6,opaque,554.0174,2.46950032919e-05,0.43713487316,0.437159568163,1.07950471317e-05,7,12,1343,36
salmo,salmone,6,opaque,582.73625,0.000457896447836,0.616245152278,0.616703048726,0.000282176466224,5,7,69,495
scalpo,scalpello,6,opaque,733.4013,0.00064674536627,0.536335240833,0.536981986199,0.000346872331776,6,9,146,78
scontro,scontrino,6,opaque,566.1035,9.15625144985e-05,0.564274251718,0.564365814233,5.16663693541e-05,7,9,1168,253
secchio,secchione,6,opaque,535.0846,2.31602107609e-05,0.327904951463,0.327928111674,7.59434778543e-06,7,9,672,215
sosta,sostanza,6,opaque,632.3668,0.000480422799767,0.813503349786,0.813983772586,0.000390825556924,5,8,811,1105
spunto,spuntino,6,opaque,658.228,0.000572330957623,0.555508151219,0.556080482177,0.000317934512154,6,8,159,475
stiva,stivale,6,opaque,638.45385,0.000457896447836,0.541915820186,0.542373716634,0.000248141329089,5,7,310,288
tacco,tacchino,6,opaque,564.68045,0.00308165318471,0.525461042921,0.528542696106,0.00161928869636,5,8,291,1069
tassa,tassello,6,opaque,493.2196,0.00187806655518,0.774465223986,0.776343290541,0.00145449723532,5,8,276,46
tatto,tattico,6,opaque,570.4735,0.00282171714739,0.730870603675,0.733692320823,0.00206231011491,5,7,888,256
testa,testamento,6,opaque,513.1672,0.000395316743065,0.882302131504,0.882697448247,0.000348788805025,5,10,41400,1254
tifo,tifone,6,opaque,667.7795,0.00183318210983,0.695874967335,0.697708149445,0.00127566554079,4,6,525,83
tosse,tossina,6,opaque,495.8592,0.0034293118348,0.531751083956,0.535180395791,0.00182354028538,5,7,737,242
valle,valletto,6,opaque,598.2617,0.000393869551787,0.672536798675,0.672930668227,0.000264891767454,5,8,1327,125
vanto,vantaggio,6,opaque,590.7919,0.00167942384709,0.744591172643,0.74627059649,0.00125048417167,5,9,109,2571
vino,vinile,6,opaque,524.90695,0.00774375780197,0.780787586152,0.788531343954,0.00604622996194,4,6,6498,89
viola,violenza,6,opaque,538.5661,0.00304552350704,0.834352355853,0.83739787936,0.00254103971291,5,8,1107,3312
vite,vitello,6,opaque,602.1477,0.00155884740136,0.706406195717,0.707965043118,0.0011011794625,4,7,5550,390
abito,abitudine,7,opaque,556.498,0.00332636602376,0.630303308804,0.633629674828,0.00209661951107,5,9,2642,1455
artiglio,artigliere,7,opaque,557.7127,4.57854493841e-05,0.425130596296,0.425176381746,1.94647953983e-05,8,10,124,109
asta,astuccio,7,opaque,635.5058,0.00747214202471,0.628713130418,0.636185272442,0.00469783380328,4,8,1463,57
ballo,ballatoio,7,opaque,505.5866,0.00122940089503,0.594702448296,0.595931849191,0.00073112772221,5,9,7440,13
bara,barella,7,opaque,561.0759,0.00735845170487,0.582743003046,0.590101454751,0.00428808624427,4,7,1243,440
bile,bilico,7,opaque,683.0465,0.00774375780197,0.908577698742,0.916321456544,0.00703580564333,4,6,87,103
boccia,bocciolo,7,opaque,521.23915,0.000463396339029,0.540972427188,0.541435823527,0.000250684642275,6,8,145,73
bordo,bordello,7,opaque,656.9162,0.00183318210983,0.746660207779,0.748493389889,0.00136876413502,5,8,5785,603
botte,bottino,7,opaque,499.7569,0.00333697264645,0.707938067343,0.711275039989,0.0023623699661,5,7,1590,542
botto,bottone,7,opaque,551.1553,0.000464705634091,0.566876541269,0.567341246903,0.000263430722562,5,7,337,952
branda,brandello,7,opaque,657.9831,0.000463616173641,0.557811309412,0.558274925586,0.000258610344884,6,9,174,38
briga,brigante,7,opaque,640.22905,0.000480774761932,0.64761514791,0.648095922672,0.00031135701856,5,8,217,98
bullo,bullone,7,opaque,521.0183,0.000463327643831,0.530976203125,0.531439530769,0.000246015953124,5,7,319,78
burro,burrone,7,opaque,554.10445,0.000463327643831,0.673690982825,0.674154310469,0.000312139655743,5,7,1677,200
calvo,calvario,7,opaque,663.3042,0.00158190188824,0.70073818277,0.702320084658,0.00110849905449,5,8,377,68
cane,canaglia,7,opaque,494.9887,0.00783568870893,0.794363092942,0.802198781651,0.00622438191816,4,8,13494,453
cancello,cancelliere,7,opaque,514.1258,4.77761632789e-05,0.774874189327,0.774921965491,3.70205157899e-05,8,11,1888,657
canotta,canottaggio,7,opaque,562.87155,2.43415782113e-05,0.265685698826,0.265710040404,6.46720921759e-06,7,11,33,49
canto,cantina,7,opaque,559.216,0.00293255131965,0.817892255258,0.820824806577,0.00239851101249,5,7,1764,1491
capo,capienza,7,opaque,537.4143,0.0136666405762,0.93700598636,0.950672626937,0.0128057240334,4,8,33050,26
cappa,cappone,7,opaque,643.75595,0.00194742151711,0.567042112981,0.568989534498,0.00110427001193,5,7,132,16
carro,carriera,7,opaque,531.33535,0.00333697264645,0.949237680211,0.952574652858,0.00316758017384,5,8,1863,5460
cavia,caviale,7,opaque,554.4381,0.000459242274507,0.552948037598,0.553407279873,0.000253937114471,5,7,226,337
colla,colletta,7,opaque,525.95615,0.00298928606259,0.597756771086,0.600746057149,0.00178686598463,5,8,616,112
colle,collezione,7,opaque,581.5347,0.000469115164624,0.816719566405,0.81718868157,0.000383135533846,5,10,101,1616
cono,conato,7,opaque,611.8338,0.00735845170487,0.833174498097,0.840532949802,0.00613087430597,4,6,274,13
coro,corona,7,opaque,571.10395,0.00185494502134,0.818207243937,0.820062188958,0.00151772945356,4,6,1135,1328
corso,corsetto,7,opaque,520.1409,0.00183318210983,0.805025944042,0.806859126152,0.00147575915856,5,8,7856,103
coscia,coscienza,7,opaque,631.2485,0.000770145426572,0.747386612982,0.748156758408,0.000575596381869,6,9,413,2414
costa,costanza,7,opaque,573.20545,0.000457896447836,0.763184625919,0.763642522367,0.000349459529251,5,8,5242,109
doga,dogana,7,opaque,633.48535,0.00146735222109,0.718709385624,0.720176737845,0.00105459981332,4,6,2,444
equo,equino,7,opaque,668.7942,0.0106405363853,0.721541837649,0.732182374034,0.00767759217703,4,6,388,32
falco,falcata,7,opaque,554.5182,0.00183425748712,0.740175938825,0.742010196313,0.00135767325758,5,7,799,19
fattore,fattorino,7,opaque,555.2041,0.00020844404248,0.68099945127,0.681207895313,0.00014195027855,7,9,693,441
fiore,fioretto,7,opaque,536.38305,0.000366367478865,0.74083332017,0.741199687649,0.00027141723577,5,8,1764,39
firma,firmamento,7,opaque,564.68485,0.000121690118712,0.643525911343,0.643647601462,7.83107445455e-05,5,10,2716,69
foca,focaccia,7,opaque,636.175,9.1899094988e-05,0.617217218818,0.617309117913,5.67217038203e-05,4,8,135,125
folle,folletto,7,opaque,564.0622,0.000370713636465,0.558564045923,0.55893475956,0.000207067308663,5,8,2711,205
fonte,fontina,7,opaque,551.6121,0.00302391224426,0.564159583098,0.567183495342,0.00170596907105,5,7,2904,8
forma,formaggio,7,opaque,582.9718,0.000389252078356,0.737423063664,0.737812315743,0.000287043460159,5,9,7571,2720
forza,forziere,7,opaque,528.5421,0.00329784440708,0.826344752477,0.829642596884,0.00272515642028,5,8,45941,83
fosso,fossile,7,opaque,583.0721,0.00194742151711,0.789762368432,0.791709789949,0.00153800022969,5,7,352,117
gallo,gallone,7,opaque,522.53945,0.000463327643831,0.691930738512,0.692394066155,0.000320590638769,5,7,514,59
gara,garante,7,opaque,556.0185,0.00194742151711,0.880746870072,0.882694291589,0.00171518540591,4,7,3788,160
gelo,geloso,7,opaque,598.3312,0.00146735222109,0.764148525136,0.765615877357,0.0011212750356,4,6,186,1953
genero,generoso,7,opaque,590.10745,9.26483533744e-05,0.576181088948,0.576273737302,5.33822291365e-05,6,8,395,1176
gesta,gestazione,7,opaque,597.67865,0.000486494094995,0.796658786291,0.797145280386,0.000387569795257,5,10,127,56
getto,gettone,7,opaque,564.23555,0.000370713636465,0.685027479748,0.685398193384,0.000253949028096,5,7,272,102
giro,girino,7,opaque,597.9347,0.004790614224,0.790454755305,0.795245369529,0.00378676379419,4,6,29849,63
grano,granata,7,opaque,565.3568,0.00183425748712,0.758713825143,0.76054808263,0.00139167651435,5,7,925,550
indole,indolenza,7,opaque,734.14595,2.86159877581e-05,0.295876471599,0.295905087586,8.46679748916e-06,6,9,130,15
lampo,lampone,7,opaque,570.1534,0.000457896447836,0.589017638026,0.589475534474,0.000269709084165,5,7,693,89
mago,magone,7,opaque,548.95305,0.00183318210983,0.732754900346,0.734588082456,0.0013432731742,4,6,1864,12
masso,massaggio,7,opaque,722.479,0.00169937240057,0.800161599305,0.801860971706,0.00135977253786,5,9,101,1052
matto,mattanza,7,opaque,494.2708,0.00194879746136,0.716946645909,0.718895443371,0.00139718380348,5,8,4532,8
mela,melone,7,opaque,494.708,0.0132147951361,0.544603227069,0.557818022205,0.0071968200762,4,6,1206,242
merlo,merletto,7,opaque,585.5052,0.00149021136568,0.713132605513,0.714622816878,0.00106271831397,5,8,80,33
mimo,mimosa,7,opaque,616.60435,0.00192344859743,0.649881885246,0.651805333843,0.00125001440067,4,6,115,89
mina,miniera,7,opaque,524.4347,0.00635925372189,0.76946168137,0.775820935092,0.0048932020611,4,7,737,1262
nave,navetta,7,opaque,511.4363,0.00146735222109,0.444698796918,0.446166149139,0.000652529767376,4,7,12547,929
ombra,ombrello,7,opaque,514.7949,0.00329784440708,0.639343840267,0.642641684674,0.00210845650783,5,8,2707,513
orma,ormeggio,7,opaque,633.30075,0.0133052139025,0.801229654099,0.814534868001,0.0106605319328,4,8,40,27
oste,ostaggio,7,opaque,555.2208,0.0133052139025,0.691141243017,0.70444645692,0.0091957820752,4,8,133,1626
pieta,pietanza,7,opaque,553.66865,0.000457896447836,0.511995558839,0.512453455287,0.0002344409477,5,8,32,44
pigna,pignolo,7,opaque,539.7728,0.00329784440708,0.650021017634,0.653318862041,0.00214366817749,5,7,58,110
porco,porcino,7,opaque,544.1248,0.00183318210983,0.544284829534,0.546118011644,0.000997773212152,5,7,1594,5
pulce,pulcino,7,opaque,486.0824,0.00338910496265,0.542369259094,0.545758364056,0.00183814634758,5,7,163,145
quiete,quietanza,7,opaque,568.38525,0.000480774761932,0.583504374347,0.583985149109,0.000280534176663,6,9,320,2
ramo,ramino,7,opaque,586.163,0.0106405363853,0.745552052158,0.756192588544,0.00793307373815,4,6,647,35
rete,retaggio,7,opaque,528.6348,0.00747214202471,0.889943187732,0.897415329757,0.00664978189265,4,8,2960,114
retta,rettile,7,opaque,588.5054,0.00333697264645,0.844298092145,0.847635064791,0.00281739963893,5,7,2389,128
ricetta,ricettazione,7,opaque,532.9749,2.46950032919e-05,0.43713487316,0.437159568163,1.07950471317e-05,7,12,1343,36
salmo,salmone,7,opaque,606.5731,0.000457896447836,0.616245152278,0.616703048726,0.000282176466224,5,7,69,495
scalpo,scalpello,7,opaque,557.5872,0.00064674536627,0.536335240833,0.536981986199,0.000346872331776,6,9,146,78
scontro,scontrino,7,opaque,584.0288,9.15625144985e-05,0.564274251718,0.564365814233,5.16663693541e-05,7,9,1168,253
secchio,secchione,7,opaque,475.4695,2.31602107609e-05,0.327904951463,0.327928111674,7.59434778543e-06,7,9,672,215
sosta,sostanza,7,opaque,549.6271,0.000480422799767,0.813503349786,0.813983772586,0.000390825556924,5,8,811,1105
spunto,spuntino,7,opaque,561.2467,0.000572330957623,0.555508151219,0.556080482177,0.000317934512154,6,8,159,475
stiva,stivale,7,opaque,634.9945,0.000457896447836,0.541915820186,0.542373716634,0.000248141329089,5,7,310,288
tacco,tacchino,7,opaque,543.6643,0.00308165318471,0.525461042921,0.528542696106,0.00161928869636,5,8,291,1069
tassa,tassello,7,opaque,509.1383,0.00187806655518,0.774465223986,0.776343290541,0.00145449723532,5,8,276,46
tatto,tattico,7,opaque,507.51965,0.00282171714739,0.730870603675,0.733692320823,0.00206231011491,5,7,888,256
testa,testamento,7,opaque,519.91805,0.000395316743065,0.882302131504,0.882697448247,0.000348788805025,5,10,41400,1254
tifo,tifone,7,opaque,618.2334,0.00183318210983,0.695874967335,0.697708149445,0.00127566554079,4,6,525,83
tosse,tossina,7,opaque,535.2175,0.0034293118348,0.531751083956,0.535180395791,0.00182354028538,5,7,737,242
valle,valletto,7,opaque,582.21305,0.000393869551787,0.672536798675,0.672930668227,0.000264891767454,5,8,1327,125
vanto,vantaggio,7,opaque,592.542,0.00167942384709,0.744591172643,0.74627059649,0.00125048417167,5,9,109,2571
vino,vinile,7,opaque,518.6372,0.00774375780197,0.780787586152,0.788531343954,0.00604622996194,4,6,6498,89
viola,violenza,7,opaque,538.3061,0.00304552350704,0.834352355853,0.83739787936,0.00254103971291,5,8,1107,3312
vite,vitello,7,opaque,598.9503,0.00155884740136,0.706406195717,0.707965043118,0.0011011794625,4,7,5550,390
acero,acerbo,1,orthog,659.33365,0.00183210594297,0.772854235087,0.77468634103,0.00141595083715,5,6,189,18
ape,apice,1,orthog,615.606,0.0428099355725,0.824765478074,0.867575413646,0.0353081569788,3,5,443,298
banda,bandolo,1,orthog,523.1314,0.00183318210983,0.670852986146,0.672686168256,0.00122979569253,5,7,3238,6
bar,baracca,1,orthog,598.95715,0.00148478181374,0.735822799426,0.73730758124,0.00109253631072,3,7,8719,733
baratto,barattolo,1,orthog,705.7194,2.31773881431e-05,0.370572514336,0.370595691724,8.58890299991e-06,7,9,92,663
barba,barbiturico,1,orthog,575.2412,0.00194922744277,0.797601114651,0.799550342094,0.00155470598106,5,11,1832,17
baro,barocco,1,orthog,574.1342,0.00146735222109,0.761580733996,0.763048086217,0.00111750718157,4,7,161,24
barra,barracuda,1,orthog,591.0145,0.000487923912921,0.88175369689,0.882241620803,0.000430228714019,5,9,379,58
bomba,bombola,1,orthog,537.5921,0.00120619984042,0.468392009741,0.469598209582,0.000564974367404,5,7,6463,240
calco,calcolo,1,orthog,781.4368,0.0,0.692841670778,0.692841670778,0.0,5,7,97,434
cambio,cambusa,1,orthog,599.5966,0.003663003663,0.764509651626,0.768172655289,0.00280040165431,6,7,6385,64
canna,cannibale,1,orthog,568.3457,0.00188384668758,0.845069547412,0.8469533941,0.00159198146767,5,9,1186,128
capra,capriola,1,orthog,550.9436,0.00192457677356,0.664708605688,0.666633182462,0.00127928274369,5,8,916,61
carne,carnevale,1,orthog,550.921,0.000389252078356,0.684322133718,0.684711385797,0.000266373812815,5,9,6665,299
caro,carota,1,orthog,632.47525,0.00146735222109,0.845427602149,0.84689495437,0.00124054006979,4,6,10169,311
casta,castagna,1,orthog,598.7389,0.000459242274507,0.768755496499,0.769214738773,0.000353045022751,5,8,107,32
circo,circuito,1,orthog,539.62995,0.00271203057505,0.673749584834,0.676461615409,0.001827229474,5,8,1405,942
cocco,coccodrillo,1,orthog,601.153,0.000518395448562,0.65143802546,0.651956420908,0.000337702507419,5,11,667,361
coda,codardo,1,orthog,586.6354,0.00146735222109,0.756275979477,0.757743331698,0.00110972323825,4,7,2234,1349
conca,conchiglia,1,orthog,707.6566,0.00336115039277,0.640965146946,0.644326297339,0.00215438025541,5,10,11,186
corda,cordoglio,1,orthog,554.98,0.00194883246454,0.817766930864,0.819715763328,0.0015936907433,5,9,2454,69
corno,cornice,1,orthog,588.959,0.00155884740136,0.777380921552,0.778939768953,0.00121181822943,5,7,620,226
corte,corteccia,1,orthog,554.6588,2.86369663201e-05,0.856676078316,0.856704715283,2.45326040019e-05,5,9,4793,279
costo,costume,1,orthog,564.8253,0.00192457677356,0.857734948735,0.859659525508,0.00165077676021,5,7,1797,2350
dama,damigiana,1,orthog,560.36905,0.00738119289431,0.702291301088,0.709672493982,0.00518374756132,4,9,503,13
ditta,dittongo,1,orthog,567.7891,0.0034293118348,0.837709088374,0.841138400209,0.00287276569088,5,8,934,4
faccia,faccenda,1,orthog,527.0108,0.0034293118348,0.582702677469,0.586131989303,0.00199826918801,6,8,44413,4887
fame,famiglia,1,orthog,507.7333,0.0135763211438,0.867888859634,0.881465180778,0.0117827378755,4,8,9398,38730
faro,faringe,1,orthog,544.5915,0.0136666405762,0.816420717161,0.830087357737,0.0111577285004,4,7,788,16
feto,fetido,1,orthog,650.49245,0.0106405363853,0.618314538211,0.628955074596,0.00657919834141,4,6,378,50
foro,foresta,1,orthog,525.1703,0.00781297874381,0.85045946156,0.858272440304,0.00664462169564,4,7,573,2453
fune,fungo,1,orthog,597.29195,0.0132147951361,0.788720666564,0.8019354617,0.0104227820283,4,5,362,349
gazza,gazzarra,1,orthog,598.03895,0.00037181633559,0.483328273423,0.483700089759,0.000179709347511,5,8,72,3
germe,germoglio,1,orthog,654.4644,0.00158171726686,0.480993885773,0.48257560304,0.000760796334379,5,9,64,36
ghianda,ghiandola,1,orthog,569.2442,0.000114449213536,0.371894332576,0.37200878179,4.25630138819e-05,7,9,67,113
giove,giovenca,1,orthog,586.5908,0.000480774761932,0.56952710592,0.570007880682,0.000273814258762,5,8,1,26
lama,lamento,1,orthog,518.752,0.00781297874381,0.841971457299,0.849784436043,0.00657830509877,4,7,1291,443
latte,lattuga,1,orthog,524.71755,0.00333697264645,0.503642964782,0.506979937428,0.00168064279705,5,7,4456,189
lava,lavagna,1,orthog,660.7607,0.00185494502134,0.809507580023,0.811362525044,0.0015015920553,4,7,723,378
lente,lenticchia,1,orthog,510.49965,0.00185746126617,0.66989251647,0.671749977737,0.00124429940184,5,10,376,4
lite,litio,1,orthog,628.62205,0.00737577846716,0.769453256454,0.776829034922,0.00567531676044,4,5,702,79
lume,lumaca,1,orthog,634.16265,0.0132147951361,0.736989985284,0.75020478042,0.00973917167291,4,6,197,222
maggio,maggioranza,1,orthog,608.5368,9.98854215376e-05,0.841642999457,0.841742884878,8.40678657849e-05,6,11,1150,599
mandria,mandrillo,1,orthog,704.82685,9.72843365936e-05,0.422681996983,0.422779281319,4.11203376665e-05,7,9,260,24
mano,maniaco,1,orthog,522.5764,0.0107486324276,0.767543780494,0.778292412921,0.00825004596859,4,7,31080,987
manto,mantide,1,orthog,592.4074,0.00338910496265,0.729293400857,0.732682505819,0.00247165188407,5,7,96,1
merce,mercurio,1,orthog,548.2644,0.00158171726686,0.830695210714,0.832276927981,0.00131392495828,5,8,1375,414
meta,metallo,1,orthog,581.01985,0.00155884740136,0.926139846174,0.927698693575,0.00144371069251,4,7,713,1363
mira,miracolo,1,orthog,655.2089,0.00192457677356,0.926096781128,0.928021357901,0.00178234435503,4,8,1816,2969
moda,moderno,1,orthog,509.9335,0.0135763211438,0.744951521376,0.75852784252,0.0101137010908,4,7,2856,613
oblio,obliquo,1,orthog,644.4963,0.00183318210983,0.778973986963,0.780807169073,0.00142800117692,5,7,216,18
orco,orchestra,1,orthog,623.7835,0.00781865638128,0.864790505631,0.872609162013,0.00676149980533,4,9,313,624
organo,organza,1,orthog,630.2842,0.000366367478865,0.401152314338,0.401518681817,0.000146969162045,6,7,522,10
pacco,pacchia,1,orthog,560.5023,0.00333697264645,0.482234911411,0.485571884057,0.00160920470854,5,7,1754,61
palo,palestra,1,orthog,524.7753,0.0136666405762,0.82080271307,0.834469353646,0.0112176156635,4,8,895,2294
palla,pallido,1,orthog,558.19835,0.00194742151711,0.771191445038,0.773138866555,0.00150183481388,5,7,6031,533
palma,palmares,1,orthog,655.4304,0.000482187782762,0.761970233834,0.762452421617,0.000367412737583,5,8,219,1
panno,pannocchia,1,orthog,563.7999,0.000399658279186,0.535250152001,0.53564981028,0.000213917154683,5,10,125,53
papa,papiro,1,orthog,642.4479,0.00810354858457,0.855504341486,0.863607890071,0.00693262099555,4,6,7,18
perno,pernice,1,orthog,707.64495,0.00329784440708,0.765360858646,0.768658703053,0.00252404102708,5,7,97,29
piano,pianeta,1,orthog,497.5284,0.00329784440708,0.721133252442,0.724431096849,0.00237818526332,5,7,30598,6586
pinna,pinnacolo,1,orthog,610.4793,0.000486477123826,0.616576118538,0.617062595661,0.000299950176766,5,9,117,25
pista,pistola,1,orthog,539.2113,0.00265630283395,0.766103319122,0.768759621956,0.00203500241768,5,7,3972,17382
premio,premura,1,orthog,577.387,0.00338917186002,0.850723074892,0.854112246752,0.00288324670609,6,7,3335,133
prode,prodigio,1,orthog,684.52455,0.00329784440708,0.634827544218,0.638125388625,0.00209356246616,5,8,94,315
raggio,raggiro,1,orthog,621.42745,9.26483406388e-05,0.692786457072,0.692879105412,6.41855156647e-05,6,7,2430,52
rame,rampa,1,orthog,535.3483,0.0117647058824,0.788910684585,0.800675390467,0.00928130217159,4,5,453,384
rapa,rapace,1,orthog,639.5837,0.00185494502134,0.675390422714,0.677245367735,0.00125281210207,4,6,222,41
remo,remoto,1,orthog,597.28345,0.00146735222109,0.802368459183,0.803835811404,0.00117735714072,4,6,18,303
resto,restauro,1,orthog,570.0772,0.00295423566906,0.839428487712,0.842382723381,0.00247986958003,5,8,17417,170
riva,rivale,1,orthog,675.3105,0.00183318210983,0.787611789298,0.789444971408,0.00144383584163,4,6,898,449
sacca,saccarosio,1,orthog,598.38775,0.000470510355491,0.693175668773,0.693646179128,0.000326146330332,5,10,597,10
salame,salamandra,1,orthog,554.37845,0.000492354397125,0.676798223199,0.677290577596,0.000333224581158,6,10,308,40
sala,salasso,1,orthog,600.5968,9.29929792312e-05,0.773120321527,0.773213314506,7.18947620029e-05,4,7,8731,35
samba,sambuca,1,orthog,676.8311,0.00183318210983,0.810129632577,0.811962814687,0.00148511514908,5,7,85,32
scalo,scalogno,1,orthog,721.4648,0.000457896447836,0.660784890543,0.661242786991,0.000302571054163,5,8,154,23
scampo,scampolo,1,orthog,586.2165,9.15625144985e-05,0.437189180407,0.437280742922,4.00301406696e-05,6,8,459,10
sole,solido,1,orthog,562.89275,0.0132147951361,0.783166360903,0.796381156039,0.0103493830168,4,6,9987,534
spia,spiaggia,1,orthog,582.7545,0.00146735222109,0.85493458551,0.856401937731,0.00125449016294,4,8,3583,3848
spina,spinaci,1,orthog,551.61785,0.000366367478865,0.604922679965,0.605289047443,0.000221623997167,5,7,1374,175
tappo,tappeto,1,orthog,548.82675,0.00231803001825,0.679163520628,0.681481550646,0.00157432142811,5,7,466,1975
tartaro,tartaruga,1,orthog,694.7469,0.000209219340705,0.705504695339,0.70571391468,0.000147605227223,7,9,2,716
torto,tortura,1,orthog,576.8432,0.00157736122316,0.679398762631,0.680976123854,0.00107165726324,5,7,1924,1115
trama,tramonto,1,orthog,579.3181,0.00183318210983,0.87762140924,0.87945459135,0.00160883986662,5,8,421,1232
verga,vergogna,1,orthog,713.8918,0.00268022162093,0.730673805317,0.733354026938,0.00195836773086,5,8,78,2628
vitto,vittima,1,orthog,678.1693,0.00194879746136,0.836478198931,0.838426996393,0.00163012659056,5,7,152,10056
acero,acerbo,2,orthog,682.4798,0.00183210594297,0.772854235087,0.77468634103,0.00141595083715,5,6,189,18
ape,apice,2,orthog,558.4852,0.0428099355725,0.824765478074,0.867575413646,0.0353081569788,3,5,443,298
banda,bandolo,2,orthog,607.63445,0.00183318210983,0.670852986146,0.672686168256,0.00122979569253,5,7,3238,6
bar,baracca,2,orthog,593.9757,0.00148478181374,0.735822799426,0.73730758124,0.00109253631072,3,7,8719,733
baratto,barattolo,2,orthog,632.9418,2.31773881433e-05,0.370572514336,0.370595691724,8.58890299999e-06,7,9,92,663
barba,barbiturico,2,orthog,573.15665,0.00194922744277,0.797601114651,0.799550342094,0.00155470598106,5,11,1832,17
baro,barocco,2,orthog,635.0311,0.00146735222109,0.761580733996,0.763048086217,0.00111750718157,4,7,161,24
barra,barracuda,2,orthog,653.2064,0.000487923912921,0.88175369689,0.882241620803,0.000430228714019,5,9,379,58
bomba,bombola,2,orthog,526.6714,0.00120619984042,0.468392009741,0.469598209582,0.000564974367404,5,7,6463,240
